latitude,longitude,time,date,sound val,sound avg,sound pek
51.4995613098,0.0023916001,15:8:48,21/9/2017,14,9.93,189
51.4995460510,0.0023882999,15:8:50,21/9/2017,24,19.95,464
51.4995269775,0.0023850002,15:8:51,21/9/2017,22,28.97,339
51.4995117187,0.0023816003,15:8:52,21/9/2017,29,27.52,343
51.4994964599,0.0023816003,15:8:52,21/9/2017,22,33.33,388
51.4994773864,0.0023850002,15:8:54,21/9/2017,25,35.48,323
51.4994621276,0.0023900001,15:8:55,21/9/2017,34,29.97,353
51.4994544982,0.0023933000,15:8:56,21/9/2017,22,27.72,285
51.4994392395,0.0023916001,15:8:56,21/9/2017,52,41.58,462
51.4994239807,0.0023916001,15:8:58,21/9/2017,42,48.05,450
51.4994125366,0.0023916001,15:8:59,21/9/2017,33,40.10,345
51.4993972778,0.0023900001,15:9:0,21/9/2017,55,44.66,339
51.4993820190,0.0023882999,15:9:0,21/9/2017,31,41.95,364
51.4993743896,0.0023833000,15:9:2,21/9/2017,26,43.16,397
51.4993553161,0.0023782999,15:9:3,21/9/2017,43,37.03,349
51.4993476867,0.0023750000,15:9:4,21/9/2017,52,34.56,373
51.4993324279,0.0023733000,15:9:4,21/9/2017,46,42.09,379
51.4993247985,0.0023733000,15:9:6,21/9/2017,44,35.82,405
51.4993095397,0.0023716001,15:9:7,21/9/2017,40,30.37,335
51.4992904663,0.0023750000,15:9:8,21/9/2017,10,11.49,395
51.4992828369,0.0023733000,15:9:8,21/9/2017,13,10.60,270
51.4992675781,0.0023716001,15:9:10,21/9/2017,8,14.26,275
51.4992523193,0.0023716001,15:9:11,21/9/2017,10,14.54,278
51.4992446899,0.0023750000,15:9:12,21/9/2017,12,13.14,357
51.4992256164,0.0023750000,15:9:12,21/9/2017,56,41.24,325
51.4992103576,0.0023800001,15:9:14,21/9/2017,14,21.78,388
51.4991950988,0.0023866000,15:9:15,21/9/2017,12,19.50,267
51.4991798400,0.0023850002,15:9:16,21/9/2017,202,79.52,321
51.4991607666,0.0023882999,15:9:16,21/9/2017,10,21.56,314
51.4991531372,0.0023950002,15:9:18,21/9/2017,18,26.41,333
51.4991378784,0.0023983001,15:9:19,21/9/2017,38,32.76,318
51.4991226196,0.0023983001,15:9:20,21/9/2017,21,25.60,355
51.4991111755,0.0024016001,15:9:20,21/9/2017,21,22.78,361
51.4990959167,0.0024082999,15:9:22,21/9/2017,23,34.12,269
51.4990882873,0.0024133000,15:9:23,21/9/2017,8,29.27,448
51.4990730285,0.0024165999,15:9:24,21/9/2017,29,29.43,388
51.4990577697,0.0024182999,15:9:24,21/9/2017,30,39.14,335
51.4990463256,0.0024200000,15:9:26,21/9/2017,31,50.30,389
51.4990310668,0.0024200000,15:9:27,21/9/2017,14,26.99,312
51.4990158081,0.0024233002,15:9:28,21/9/2017,23,21.08,413
51.4990005493,0.0024283003,15:9:28,21/9/2017,22,24.14,314
51.4989891052,0.0024333000,15:9:30,21/9/2017,9,17.82,254
51.4989738464,0.0024366002,15:9:31,21/9/2017,7,15.11,370
51.4989585876,0.0024400000,15:9:32,21/9/2017,46,21.32,357
51.4989509582,0.0024450001,15:9:32,21/9/2017,7,21.93,396
51.4989356994,0.0024500000,15:9:34,21/9/2017,12,18.94,414
51.4989242553,0.0024549999,15:9:35,21/9/2017,19,21.13,374
51.4989089965,0.0024600000,15:9:36,21/9/2017,11,19.18,411
51.4989013671,0.0024632999,15:9:36,21/9/2017,13,17.72,340
51.4988861083,0.0024700000,15:9:38,21/9/2017,22,19.11,424
51.4988784790,0.0024750001,15:9:39,21/9/2017,109,33.84,331
51.4988670349,0.0024800000,15:9:40,21/9/2017,20,45.47,392
51.4988517761,0.0024865999,15:9:40,21/9/2017,47,32.12,456
51.4988365173,0.0024932999,15:9:42,21/9/2017,126,77.32,356
51.4988288879,0.0024983000,15:9:43,21/9/2017,34,51.90,297
51.4988136291,0.0025033001,15:9:44,21/9/2017,142,101.90,398
51.4987945556,0.0025065999,15:9:44,21/9/2017,24,129.76,441
51.4987869262,0.0025116002,15:9:46,21/9/2017,40,39.29,465
51.4987716674,0.0025166001,15:9:47,21/9/2017,105,88.88,351
51.4987640380,0.0025250000,15:9:48,21/9/2017,91,102.57,427
51.4987564086,0.0025315999,15:9:48,21/9/2017,111,96.76,386
51.4987373352,0.0025366001,15:9:50,21/9/2017,101,118.94,321
51.4987220764,0.0025399999,15:9:51,21/9/2017,51,66.88,353
51.4987144470,0.0025450000,15:9:52,21/9/2017,60,79.08,401
51.4986991882,0.0025515999,15:9:52,21/9/2017,123,93.69,437
51.4986915588,0.0025583002,15:9:54,21/9/2017,41,85.79,364
51.4986724853,0.0025615999,15:9:55,21/9/2017,40,38.52,426
51.4986572265,0.0025633001,15:9:56,21/9/2017,22,51.97,475
51.4986495971,0.0025683000,15:9:56,21/9/2017,128,68.21,395
51.4986343383,0.0025699999,15:9:58,21/9/2017,29,76.55,363
51.4986152648,0.0025749998,15:9:59,21/9/2017,50,37.37,442
51.4986000061,0.0025815999,15:10:0,21/9/2017,51,36.51,380
51.4985923767,0.0025900003,15:10:0,21/9/2017,38,46.77,460
51.4985847473,0.0026033000,15:10:2,21/9/2017,43,51.22,484
51.4985771179,0.0026116001,15:10:3,21/9/2017,73,54.71,381
51.4985580444,0.0026183004,15:10:4,21/9/2017,49,52.08,403
51.4985504150,0.0026250000,15:10:4,21/9/2017,66,42.64,388
51.4985427856,0.0026333000,15:10:6,21/9/2017,36,54.27,416
51.4985275268,0.0026399998,15:10:7,21/9/2017,57,55.46,380
51.4985198974,0.0026466000,15:10:8,21/9/2017,42,46.38,388
51.4985008239,0.0026549997,15:10:8,21/9/2017,32,49.69,427
51.4984931945,0.0026616003,15:10:10,21/9/2017,48,48.83,371
51.4984779357,0.0026682999,15:10:11,21/9/2017,60,43.47,340
51.4984703063,0.0026766002,15:10:12,21/9/2017,60,46.31,377
51.4984550476,0.0026816000,15:10:12,21/9/2017,55,54.95,347
51.4984474182,0.0026883001,15:10:14,21/9/2017,61,61.88,358
51.4984283447,0.0026950001,15:10:15,21/9/2017,79,93.53,386
51.4984207153,0.0027032999,15:10:16,21/9/2017,124,83.97,458
51.4984054565,0.0027100000,15:10:16,21/9/2017,53,129.78,469
51.4983978271,0.0027200002,15:10:18,21/9/2017,55,57.07,476
51.4983901977,0.0027300000,15:10:19,21/9/2017,45,49.45,439
51.4983787536,0.0027383003,15:10:20,21/9/2017,43,51.69,326
51.4983711242,0.0027466001,15:10:20,21/9/2017,40,58.27,358
51.4983558654,0.0027550003,15:10:22,21/9/2017,34,28.38,343
51.4983482360,0.0027650001,15:10:23,21/9/2017,31,28.39,299
51.4983406066,0.0027766001,15:10:24,21/9/2017,15,27.29,419
51.4983253479,0.0027850003,15:10:24,21/9/2017,29,28.43,436
51.4983139038,0.0027933001,15:10:26,21/9/2017,15,27.74,348
51.4982986450,0.0027999999,15:10:27,21/9/2017,21,25.86,414
51.4982910156,0.0028100002,15:10:28,21/9/2017,19,24.16,393
51.4982757568,0.0028183002,15:10:28,21/9/2017,14,25.83,363
51.4982681274,0.0028282999,15:10:30,21/9/2017,17,24.35,387
51.4982566833,0.0028383002,15:10:31,21/9/2017,25,26.98,436
51.4982414245,0.0028466000,15:10:32,21/9/2017,33,27.96,440
51.4982337951,0.0028565999,15:10:32,21/9/2017,20,27.65,422
51.4982185363,0.0028649999,15:10:34,21/9/2017,19,27.55,438
51.4982109069,0.0028716001,15:10:35,21/9/2017,53,39.27,368
51.4982032775,0.0028799999,15:10:36,21/9/2017,38,43.60,363
51.4981918334,0.0028916001,15:10:36,21/9/2017,67,71.40,455
51.4981842041,0.0029033002,15:10:38,21/9/2017,25,34.48,470
51.4981765747,0.0029083002,15:10:39,21/9/2017,14,33.61,428
51.4981689453,0.0029133000,15:10:40,21/9/2017,11,27.78,445
51.4981536865,0.0029200000,15:10:40,21/9/2017,42,26.49,412
51.4981460571,0.0029283000,15:10:42,21/9/2017,36,36.99,388
51.4981346130,0.0029383001,15:10:43,21/9/2017,24,56.85,395
51.4981193542,0.0029465999,15:10:44,21/9/2017,42,49.17,433
51.4981117248,0.0029583003,15:10:44,21/9/2017,54,58.72,403
51.4981040954,0.0029716000,15:10:46,21/9/2017,56,34.42,423
51.4980964660,0.0029850004,15:10:47,21/9/2017,51,50.12,390
51.4980888366,0.0030000000,15:10:48,21/9/2017,35,43.65,441
51.4980812072,0.0030150003,15:10:48,21/9/2017,49,38.17,407
51.4980697631,0.0030315999,15:10:50,21/9/2017,18,29.61,380
51.4980621337,0.0030500001,15:10:51,21/9/2017,11,26.32,418
51.4980621337,0.0030716001,15:10:52,21/9/2017,35,24.42,364
51.4980545043,0.0030932998,15:10:52,21/9/2017,12,27.99,436
51.4980545043,0.0031116003,15:10:54,21/9/2017,18,28.98,448
51.4980545043,0.0031316006,15:10:55,21/9/2017,56,33.21,423
51.4980545043,0.0031533002,15:10:56,21/9/2017,26,31.15,394
51.4980545043,0.0031749999,15:10:56,21/9/2017,23,37.42,433
51.4980545043,0.0031965999,15:10:58,21/9/2017,46,41.95,445
51.4980621337,0.0032166004,15:10:59,21/9/2017,101,39.78,395
51.4980621337,0.0032350003,15:11:0,21/9/2017,56,45.23,333
51.4980697631,0.0032533001,15:11:0,21/9/2017,92,62.77,340
51.4980812072,0.0032732999,15:11:2,21/9/2017,38,59.48,381
51.4980812072,0.0032916002,15:11:3,21/9/2017,29,63.37,412
51.4980888366,0.0033066005,15:11:4,21/9/2017,46,37.01,436
51.4980964660,0.0033250000,15:11:4,21/9/2017,68,45.47,382
51.4981040954,0.0033466000,15:11:6,21/9/2017,12,34.49,355
