latitude,longitude,time,date,light,temperature,people,people cumulative
51.5007896423,0.0056983003,10:12:46,25/9/2017,34,29.10,0,30
51.5007896423,0.0056983003,10:12:46,25/9/2017,35,31.54,0,30
51.5007820129,0.0057232999,10:12:47,25/9/2017,33,29.10,0,30
51.5007820129,0.0057232999,10:12:47,25/9/2017,35,31.54,0,30
51.5007743835,0.0057466001,10:12:48,25/9/2017,34,29.10,0,30
51.5007743835,0.0057466001,10:12:48,25/9/2017,34,31.54,0,30
51.5007743835,0.0057715997,10:12:49,25/9/2017,30,29.10,0,30
51.5007743835,0.0057715997,10:12:49,25/9/2017,31,31.54,0,30
51.5007667541,0.0057966003,10:12:50,25/9/2017,31,29.10,0,30
51.5007667541,0.0057966003,10:12:50,25/9/2017,31,31.54,0,30
51.5007553100,0.0058215999,10:12:51,25/9/2017,32,29.10,0,30
51.5007553100,0.0058215999,10:12:51,25/9/2017,32,31.54,0,30
51.5007400512,0.0058416004,10:12:52,25/9/2017,31,29.10,0,30
51.5007400512,0.0058416004,10:12:52,25/9/2017,31,31.54,0,30
51.5007247924,0.0058566002,10:12:53,25/9/2017,31,29.10,0,30
51.5007247924,0.0058566002,10:12:53,25/9/2017,32,31.54,0,30
51.5007171630,0.0058732995,10:12:54,25/9/2017,32,29.10,0,30
51.5007171630,0.0058732995,10:12:54,25/9/2017,33,31.54,0,30
51.5007095336,0.0058882999,10:12:55,25/9/2017,29,29.10,0,30
51.5007095336,0.0058882999,10:12:55,25/9/2017,30,31.54,0,30
51.5007095336,0.0059033002,10:12:56,25/9/2017,29,29.10,0,30
51.5007095336,0.0059033002,10:12:56,25/9/2017,30,32.03,1,31
51.5007095336,0.0059200000,10:12:57,25/9/2017,28,29.10,0,31
51.5007095336,0.0059200000,10:12:57,25/9/2017,29,32.03,0,31
51.5006980895,0.0059350004,10:12:58,25/9/2017,28,29.59,1,32
51.5006980895,0.0059350004,10:12:58,25/9/2017,28,32.52,0,32
51.5006980895,0.0059532999,10:12:59,25/9/2017,27,29.10,4,36
51.5006980895,0.0059532999,10:12:59,25/9/2017,27,32.03,0,36
51.5006904602,0.0059715995,10:13:0,25/9/2017,27,29.10,2,38
51.5006904602,0.0059715995,10:13:0,25/9/2017,27,31.54,0,38
51.5006828308,0.0059850001,10:13:1,25/9/2017,27,29.10,2,40
51.5006828308,0.0059850001,10:13:1,25/9/2017,28,31.54,0,40
51.5006752014,0.0059966001,10:13:2,25/9/2017,26,29.10,2,42
51.5006752014,0.0059966001,10:13:2,25/9/2017,27,32.03,0,42
51.5006675720,0.0060100007,10:13:3,25/9/2017,26,29.10,0,42
51.5006675720,0.0060100007,10:13:3,25/9/2017,27,31.54,0,42
51.5006675720,0.0060266008,10:13:4,25/9/2017,26,29.10,3,45
51.5006675720,0.0060266008,10:13:4,25/9/2017,27,32.03,0,45
51.5006599426,0.0060383005,10:13:5,25/9/2017,26,29.10,0,45
51.5006599426,0.0060383005,10:13:5,25/9/2017,27,32.03,0,45
51.5006446838,0.0060433001,10:13:6,25/9/2017,27,29.10,0,45
51.5006446838,0.0060433001,10:13:6,25/9/2017,28,32.03,0,45
51.5006332397,0.0060483002,10:13:7,25/9/2017,27,29.10,1,46
51.5006332397,0.0060483002,10:13:7,25/9/2017,28,31.54,0,46
51.5006256103,0.0060566000,10:13:8,25/9/2017,27,29.10,0,46
51.5006256103,0.0060566000,10:13:8,25/9/2017,28,31.54,0,46
51.5006179809,0.0060733003,10:13:9,25/9/2017,27,29.10,1,47
51.5006179809,0.0060733003,10:13:9,25/9/2017,27,31.54,0,47
51.5006103515,0.0060850005,10:13:10,25/9/2017,27,29.10,0,47
51.5006103515,0.0060850005,10:13:10,25/9/2017,28,31.54,0,47
51.5006027221,0.0060966005,10:13:11,25/9/2017,27,29.10,1,48
51.5006027221,0.0060966005,10:13:11,25/9/2017,28,32.03,0,48
51.5006027221,0.0061133003,10:13:12,25/9/2017,28,29.10,0,48
51.5006027221,0.0061133003,10:13:12,25/9/2017,29,31.54,0,48
51.5005950927,0.0061233000,10:13:13,25/9/2017,28,29.10,2,50
51.5005950927,0.0061233000,10:13:13,25/9/2017,29,31.54,0,50
51.5005874633,0.0061400003,10:13:14,25/9/2017,29,29.10,0,50
51.5005874633,0.0061400003,10:13:14,25/9/2017,31,31.54,0,50
51.5005760192,0.0061500000,10:13:15,25/9/2017,31,29.10,0,50
51.5005760192,0.0061500000,10:13:15,25/9/2017,31,31.54,0,50
51.5005683898,0.0061683006,10:13:16,25/9/2017,29,29.10,1,51
51.5005683898,0.0061683006,10:13:16,25/9/2017,29,31.54,0,51
51.5005531311,0.0061783003,10:13:17,25/9/2017,27,28.61,0,51
51.5005531311,0.0061783003,10:13:17,25/9/2017,28,31.54,0,51
51.5005378723,0.0061950006,10:13:18,25/9/2017,29,29.10,0,51
51.5005378723,0.0061950006,10:13:18,25/9/2017,29,31.54,0,51
51.5005302429,0.0062165999,10:13:19,25/9/2017,36,29.10,0,51
51.5005302429,0.0062165999,10:13:19,25/9/2017,38,31.54,0,51
51.5005111694,0.0062333002,10:13:20,25/9/2017,40,29.10,0,51
51.5005111694,0.0062333002,10:13:20,25/9/2017,39,31.54,0,51
51.5005035400,0.0062483005,10:13:21,25/9/2017,31,29.10,0,51
51.5005035400,0.0062483005,10:13:21,25/9/2017,31,31.54,0,51
51.5004882812,0.0062583007,10:13:22,25/9/2017,28,29.10,0,51
51.5004882812,0.0062583007,10:13:22,25/9/2017,29,31.54,0,51
51.5004730224,0.0062783002,10:13:23,25/9/2017,28,29.10,0,51
51.5004730224,0.0062783002,10:13:23,25/9/2017,28,31.54,0,51
51.5004386901,0.0062766003,10:13:24,25/9/2017,25,29.10,0,51
51.5004386901,0.0062766003,10:13:24,25/9/2017,26,31.54,0,51
51.5004234313,0.0062866001,10:13:25,25/9/2017,25,29.10,0,51
