latitude,longitude,time,date,light
51.4995841979,0.0064549994,17:15:22,19/9/2017,16
51.4995841979,0.0064549994,17:15:22,19/9/2017,16
51.4995765686,0.0064750003,17:15:23,19/9/2017,18
51.4995765686,0.0064750003,17:15:23,19/9/2017,19
51.4995765686,0.0064983005,17:15:24,19/9/2017,29
51.4995765686,0.0064983005,17:15:24,19/9/2017,35
51.4995689392,0.0065199999,17:15:24,19/9/2017,18
51.4995689392,0.0065199999,17:15:24,19/9/2017,34
51.4995689392,0.0065433001,17:15:26,19/9/2017,36
51.4995689392,0.0065433001,17:15:26,19/9/2017,36
51.4995689392,0.0065649995,17:15:27,19/9/2017,38
51.4995689392,0.0065649995,17:15:27,19/9/2017,39
51.4995689392,0.0065850009,17:15:28,19/9/2017,15
51.4995689392,0.0065850009,17:15:28,19/9/2017,24
51.4995613098,0.0066066002,17:15:28,19/9/2017,37
51.4995613098,0.0066066002,17:15:28,19/9/2017,14
51.4995613098,0.0066249995,17:15:30,19/9/2017,38
51.4995613098,0.0066249995,17:15:30,19/9/2017,37
51.4995536804,0.0066415996,17:15:31,19/9/2017,41
51.4995536804,0.0066415996,17:15:31,19/9/2017,41
51.4995536804,0.0066583003,17:15:32,19/9/2017,15
51.4995536804,0.0066583003,17:15:32,19/9/2017,38
51.4995460510,0.0066765999,17:15:32,19/9/2017,40
51.4995460510,0.0066765999,17:15:32,19/9/2017,41
51.4995460510,0.0066965999,17:15:34,19/9/2017,13
51.4995460510,0.0066965999,17:15:34,19/9/2017,14
51.4995460510,0.0067183008,17:15:35,19/9/2017,12
51.4995460510,0.0067183008,17:15:35,19/9/2017,13
51.4995460510,0.0067382998,17:15:36,19/9/2017,13
51.4995460510,0.0067382998,17:15:36,19/9/2017,13
51.4995460510,0.0067583012,17:15:36,19/9/2017,39
51.4995460510,0.0067583012,17:15:36,19/9/2017,40
51.4995536804,0.0067799997,17:15:38,19/9/2017,36
51.4995536804,0.0067799997,17:15:38,19/9/2017,37
51.4995536804,0.0068015999,17:15:39,19/9/2017,37
51.4995536804,0.0068015999,17:15:39,19/9/2017,38
51.4995613098,0.0068233008,17:15:40,19/9/2017,37
51.4995613098,0.0068233008,17:15:40,19/9/2017,37
51.4995613098,0.0068432998,17:15:40,19/9/2017,26
51.4995613098,0.0068432998,17:15:40,19/9/2017,15
51.4995536804,0.0068616003,17:15:42,19/9/2017,24
51.4995536804,0.0068616003,17:15:42,19/9/2017,24
51.4995536804,0.0068800001,17:15:43,19/9/2017,34
51.4995536804,0.0068800001,17:15:43,19/9/2017,36
51.4995536804,0.0068949995,17:15:44,19/9/2017,35
51.4995536804,0.0068949995,17:15:44,19/9/2017,36
51.4995460510,0.0069115996,17:15:44,19/9/2017,35
51.4995460510,0.0069115996,17:15:44,19/9/2017,37
51.4995460510,0.0069283008,17:15:46,19/9/2017,36
51.4995460510,0.0069283008,17:15:46,19/9/2017,37
51.4995536804,0.0069449996,17:15:47,19/9/2017,37
51.4995536804,0.0069449996,17:15:47,19/9/2017,38
51.4995536804,0.0069616007,17:15:48,19/9/2017,38
51.4995536804,0.0069616007,17:15:48,19/9/2017,40
51.4995536804,0.0069750003,17:15:48,19/9/2017,36
