latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,MQ9 gas average,people,cumulative people
51.5008621215,0.0075282998,14:11:32,18/5/2016,13,0,8.68,43,14.94,732.42,0,8
51.5008621215,0.0075349998,14:11:34,18/5/2016,12,4,5.01,22,14.94,732.93,0,8
51.5008544921,0.0075400009,14:11:35,18/5/2016,12,0,4.44,24,14.94,727.97,0,8
51.5008544921,0.0075500006,14:11:36,18/5/2016,11,1,4.02,30,14.94,734.34,0,8
51.5008544921,0.0075550007,14:11:36,18/5/2016,11,0,3.35,25,14.94,742.69,0,8
51.5008468627,0.0075583004,14:11:38,18/5/2016,11,10,14.46,52,14.94,728.27,0,8
51.5007896423,0.0075383005,14:11:39,18/5/2016,11,8,7.45,29,14.94,732.39,0,8
51.5007400512,0.007525,14:11:40,18/5/2016,11,0,3.27,17,14.94,739.83,0,8
51.50075531,0.0075383005,14:11:40,18/5/2016,11,6,6.61,37,14.94,754.86,0,8
51.5007476806,0.0075466008,14:11:42,18/5/2016,11,2,6.21,30,14.94,778.36,0,8
51.5007476806,0.007565,14:11:43,18/5/2016,11,7,5.46,29,14.94,772.79,1,9
51.50075531,0.0075732998,14:11:44,18/5/2016,11,0,4.45,28,14.94,781.44,0,9
51.5007667541,0.0075766,14:11:44,18/5/2016,11,5,6.64,35,14.94,774.87,0,9
51.50075531,0.0075865993,14:11:46,18/5/2016,11,14,5.99,26,14.94,769.33,0,9
51.5007667541,0.0075933008,14:11:47,18/5/2016,11,1,3.86,20,14.94,765.95,0,9
51.5007820129,0.0075982999,14:11:48,18/5/2016,11,0,2.63,24,14.94,766.89,0,9
51.5007743835,0.0075883002,14:11:48,18/5/2016,11,10,4.86,23,14.94,765.22,0,9
51.5007743835,0.0075766,14:11:50,18/5/2016,10,1,7.21,31,14.94,760.13,0,9
51.5007820129,0.0075616002,14:11:51,18/5/2016,11,5,8.29,35,14.94,755.99,0,9
51.5007820129,0.0075716009,14:11:52,18/5/2016,11,0,5.02,29,14.94,751.78,0,9
51.5007743835,0.0075716009,14:11:52,18/5/2016,11,7,3.97,19,14.94,747.76,0,9
51.5007820129,0.0075616002,14:11:54,18/5/2016,10,7,3.16,22,14.94,746.37,0,9
51.5007743835,0.007565,14:11:55,18/5/2016,10,4,8.07,34,15.43,742.72,0,9
51.5007743835,0.0075583004,14:11:56,18/5/2016,10,0,3.06,18,15.43,744.17,0,9
51.50075531,0.0075683002,14:11:56,18/5/2016,11,1,6.64,24,15.43,746.87,0,9
51.5007476806,0.0075716009,14:11:58,18/5/2016,11,19,4.27,23,14.94,743.45,0,9
51.5007247924,0.0075732998,14:11:59,18/5/2016,11,7,9.19,39,15.43,741.9,0,9
51.500717163,0.0075783004,14:12:0,18/5/2016,11,0,3.7,18,15.43,743.4,0,9
51.500717163,0.0075749998,14:12:0,18/5/2016,10,0,3.52,23,15.43,743.25,0,9
51.500717163,0.0075716009,14:12:2,18/5/2016,10,0,3.93,30,15.43,740.97,0,9
51.5006980895,0.0075832996,14:12:3,18/5/2016,10,0,4.73,27,15.43,740.19,0,9
51.5006828308,0.0076016006,14:12:4,18/5/2016,10,0,1.98,15,15.43,737.51,0,9
51.5006179809,0.0076465997,14:12:4,18/5/2016,10,3,4.75,21,15.43,731.51,0,9
51.5005950927,0.0076666002,14:12:6,18/5/2016,10,8,7.98,33,15.43,729.05,0,9
51.5005455017,0.0077049999,14:12:7,18/5/2016,11,0,7.05,59,15.43,727.08,0,9
51.5005302429,0.0077250003,14:12:8,18/5/2016,10,15,8.65,55,15.43,724.79,0,9
51.50050354,0.00775,14:12:8,18/5/2016,10,3,5.17,28,15.43,722.8,0,9
51.5004806518,0.0077665996,14:12:10,18/5/2016,9,8,5.57,29,15.43,724.28,0,9
51.5004730224,0.0077783002,14:12:11,18/5/2016,10,0,3.48,25,15.43,723.51,0,9
51.5004539489,0.0077933006,14:12:12,18/5/2016,9,6,5.34,26,15.43,716.92,0,9
51.5004386901,0.0078099994,14:12:12,18/5/2016,10,4,4,22,15.43,715.93,0,9
51.500415802,0.0078300004,14:12:14,18/5/2016,9,0,3.89,33,15.43,716.03,0,9
51.5003890991,0.0078516001,14:12:15,18/5/2016,9,0,3.69,20,15.43,714.09,0,9
51.5003662109,0.0078716011,14:12:16,18/5/2016,9,2,2.27,16,15.43,711.91,0,9
51.5003318786,0.0078916001,14:12:16,18/5/2016,10,17,3.76,25,15.43,709.65,0,9
51.5003242492,0.0079,14:12:18,18/5/2016,9,7,6.01,34,15.43,705.07,0,9
51.5003089904,0.0079116001,14:12:19,18/5/2016,9,4,3.58,21,15.43,700.36,0,9
51.500301361,0.0079233002,14:12:20,18/5/2016,9,1,3.16,17,15.43,695.08,0,9
51.500301361,0.0079283003,14:12:20,18/5/2016,9,2,3.4,20,15.43,694.61,0,9
51.5003242492,0.0079200005,14:12:22,18/5/2016,9,23,5.04,43,15.43,691.23,0,9
51.5003318786,0.0079182996,14:12:23,18/5/2016,9,0,4.92,23,15.43,691.44,0,9
51.5003242492,0.0079283003,14:12:24,18/5/2016,9,2,3.99,29,15.43,691.54,0,9
51.5003166198,0.0079366006,14:12:24,18/5/2016,9,4,1.48,17,15.43,696.64,0,9
51.5003166198,0.0079450006,14:12:26,18/5/2016,9,2,2.01,14,15.43,695.2,0,9
51.5003242492,0.0079465999,14:12:27,18/5/2016,9,4,3.14,20,15.43,695.28,0,9
51.5003242492,0.0079465999,14:12:28,18/5/2016,9,7,3.65,16,15.43,696.32,0,9
51.5003318786,0.0079516005,14:12:28,18/5/2016,9,11,8.28,38,15.92,691.07,0,9
51.5003509521,0.0079516005,14:12:30,18/5/2016,9,14,12.01,52,15.43,689.42,0,9
51.5003585815,0.0079500007,14:12:31,18/5/2016,9,5,10.69,36,15.43,688.93,0,9
51.5003662109,0.0079415998,14:12:32,18/5/2016,9,3,6.79,22,15.43,685.91,0,9
51.5003890991,0.0079283003,14:12:32,18/5/2016,9,6,5.95,25,15.92,677.69,0,9
51.5004005432,0.0079216003,14:12:34,18/5/2016,9,0,7.9,34,15.92,682.74,0,9
51.5004234313,0.0079166002,14:12:35,18/5/2016,9,4,14.13,49,15.92,675.67,0,9
51.5004234313,0.0079182996,14:12:36,18/5/2016,9,10,7.15,27,15.43,653.96,0,9
51.5004386901,0.0079166002,14:12:36,18/5/2016,9,12,10.18,31,15.43,713.67,0,9
51.5004463195,0.0079182996,14:12:38,18/5/2016,10,17,8.91,36,15.92,741.6,0,9
51.5004463195,0.0079233002,14:12:39,18/5/2016,10,9,6.68,31,15.43,753.92,0,9
