
51.50142288,0.00722000, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50142288,0.00723500, CPS, 2, CPM, 20, uSv/hr, 0.11, SLOW
51.50142288,0.00723330, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50141525,0.00723330, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50141525,0.00723660, CPS, 3, CPM, 22, uSv/hr, 0.12, SLOW
51.50141525,0.00722660, CPS, 2, CPM, 21, uSv/hr, 0.11, SLOW
51.50140762,0.00723330, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50130844,0.00719000, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50123596,0.00714830, CPS, 2, CPM, 22, uSv/hr, 0.12, SLOW
51.50117874,0.00713000, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
51.50116348,0.00712000, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50114059,0.00710160, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50112152,0.00708000, CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
51.50110626,0.00705660, CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
51.50109863,0.00703660, CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
51.50109100,0.00701000, CPS, 1, CPM, 25, uSv/hr, 0.14, SLOW
51.50108337,0.00697830, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50108337,0.00695830, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50107574,0.00694830, CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
51.50106430,0.00695160, CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
51.50106430,0.00696500, CPS, 1, CPM, 25, uSv/hr, 0.14, SLOW
51.50106430,0.00697660, CPS, 0, CPM, 25, uSv/hr, 0.14, SLOW
51.50106430,0.00698000, CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
51.50105667,0.00700500, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50105667,0.00701660, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50104904,0.00702160, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50104904,0.00703000, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
51.50104904,0.00703160, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50104141,0.00704660, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50103378,0.00706500, CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
51.50103378,0.00708000, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50102615,0.00709000, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50101852,0.00710660, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50099945,0.00711500, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50098419,0.00713330, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50096130,0.00716830, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50093460,0.00726160, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50090408,0.00732660, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50088882,0.00737660, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50085449,0.00744500, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50082015,0.00749330, CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
51.50079727,0.00753830, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50077438,0.00757500, CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
51.50073242,0.00761500, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50069808,0.00765000, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50066757,0.00768660, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50063323,0.00771000, CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
51.50059509,0.00774000, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50056076,0.00777000, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50050354,0.00781830, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50048065,0.00783500, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50044631,0.00784830, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50042343,0.00786160, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
51.50040817,0.00787830, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50035095,0.00792160, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50032424,0.00793830, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50028610,0.00797660, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.50026702,0.00799160, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50024414,0.00801330, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50022888,0.00803000, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50018692,0.00806830, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50015640,0.00810330, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50014495,0.00812500, CPS, 0, CPM, 13, uSv/hr, 0.07, SLOW
51.50012969,0.00814830, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50012969,0.00817330, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50012207,0.00819160, CPS, 1, CPM, 11, uSv/hr, 0.06, SLOW
51.50010681,0.00821160, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50009918,0.00823000, CPS, 0, CPM, 10, uSv/hr, 0.05, SLOW
51.50008773,0.00824660, CPS, 1, CPM, 10, uSv/hr, 0.05, SLOW
51.50008010,0.00826000, CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
51.50007247,0.00828000, CPS, 1, CPM, 10, uSv/hr, 0.05, SLOW
51.50006484,0.00830500, CPS, 2, CPM, 12, uSv/hr, 0.06, SLOW
51.50006484,0.00832660, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50007247,0.00834830, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50007247,0.00837000, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50007247,0.00838830, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50007247,0.00840160, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50006484,0.00839660, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50007247,0.00840830, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50007247,0.00840660, CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
51.50007247,0.00841160, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50006484,0.00840830, CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
51.50006484,0.00840830, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50006484,0.00841000, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50005722,0.00841160, CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
51.50004959,0.00841500, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50004196,0.00842000, CPS, 0, CPM, 12, uSv/hr, 0.06, SLOW
51.50004196,0.00842830, CPS, 1, CPM, 13, uSv/hr, 0.07, SLOW
51.50003433,0.00843160, CPS, 2, CPM, 15, uSv/hr, 0.08, SLOW
51.50002288,0.00844330, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50001525,0.00845500, CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
51.50000762,0.00847160, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50000000,0.00848500, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.49999237,0.00850000, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.49998474,0.00851000, CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
51.49998474,0.00852830, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.49999237,0.00855500, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.49998474,0.00856660, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50000000,0.00859830, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50000000,0.00860330, CPS, 0, CPM, 15, uSv/hr, 0.08, SLOW
51.50000000,0.00861660, CPS, 1, CPM, 15, uSv/hr, 0.08, SLOW
51.50000000,0.00862000, CPS, 1, CPM, 16, uSv/hr, 0.09, SLOW
51.50000000,0.00863660, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50000000,0.00864830, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50000000,0.00866000, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.49999237,0.00867500, CPS, 2, CPM, 18, uSv/hr, 0.10, SLOW
51.49999237,0.00870000, CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
51.49998474,0.00871660, CPS, 1, CPM, 19, uSv/hr, 0.10, SLOW
51.49999237,0.00873830, CPS, 1, CPM, 20, uSv/hr, 0.11, SLOW
51.49998474,0.00876000, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.49997711,0.00876660, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.49995040,0.00877830, CPS, 1, CPM, 21, uSv/hr, 0.11, SLOW
51.49991989,0.00878330, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.49990081,0.00878500, CPS, 0, CPM, 21, uSv/hr, 0.11, SLOW
51.49987030,0.00878830, CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
51.49987030,0.00879160, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.49986267,0.00879000, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.49987030,0.00880160, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.49985504,0.00880660, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
