latitude,longitude,time,date,people,cumulative people
51.5045166015,0.0048466005,13:51:6,24/2/2016,0,8
51.5045242309,0.0048233003,13:51:7,24/2/2016,0,8
51.5045318603,0.0048000001,13:51:8,24/2/2016,0,8
51.5045394897,0.0047765998,13:51:8,24/2/2016,0,8
51.5045394897,0.0047565999,13:51:10,24/2/2016,0,8
51.5045509338,0.0047416,13:51:11,24/2/2016,0,8
51.5045661926,0.0047250003,13:51:12,24/2/2016,0,8
51.504573822,0.0047082996,13:51:12,24/2/2016,0,8
51.5045814514,0.0046883001,13:51:14,24/2/2016,0,8
51.5045890808,0.00467,13:51:15,24/2/2016,0,8
51.5045890808,0.0046465997,13:51:16,24/2/2016,0,8
51.5045967102,0.0046266002,13:51:16,24/2/2016,0,8
51.5046157836,0.0046050004,13:51:18,24/2/2016,0,8
51.504623413,0.0045832996,13:51:19,24/2/2016,0,8
51.504623413,0.0045583004,13:51:20,24/2/2016,0,8
51.5046310424,0.0045315999,13:51:20,24/2/2016,0,8
51.5046386718,0.0045116004,13:51:22,24/2/2016,0,8
51.5046539306,0.0045016002,13:51:23,24/2/2016,0,8
51.5046539306,0.0044983,13:51:24,24/2/2016,0,8
51.50466156,0.0044766001,13:51:24,24/2/2016,0,8
51.5046730041,0.0044532999,13:51:26,24/2/2016,0,8
51.5046806335,0.0044283003,13:51:27,24/2/2016,0,8
51.5046882629,0.0044116001,13:51:28,24/2/2016,0,8
51.5046958923,0.0044016003,13:51:28,24/2/2016,0,8
51.5047035217,0.0043833003,13:51:30,24/2/2016,0,8
51.5047111511,0.0043716001,13:51:31,24/2/2016,0,8
51.5047187805,0.0043566002,13:51:32,24/2/2016,0,8
51.5047264099,0.0043416004,13:51:32,24/2/2016,0,8
51.504737854,0.0043266,13:51:34,24/2/2016,0,8
51.5047454833,0.0043083,13:51:35,24/2/2016,0,8
51.5047531127,0.0042933001,13:51:36,24/2/2016,0,8
51.5047607421,0.0042649998,13:51:36,24/2/2016,0,8
51.5047683715,0.0042515997,13:51:38,24/2/2016,0,8
51.5047760009,0.0042333002,13:51:39,24/2/2016,0,8
51.5047836303,0.0042183008,13:51:40,24/2/2016,0,8
51.5047950744,0.0042032999,13:51:40,24/2/2016,0,8
51.5047950744,0.0041849999,13:51:42,24/2/2016,0,8
51.5048027038,0.00417,13:51:43,24/2/2016,0,8
51.5048103332,0.0041550006,13:51:44,24/2/2016,0,8
51.5048179626,0.0041350002,13:51:44,24/2/2016,0,8
51.5048179626,0.0041150002,13:51:46,24/2/2016,0,8
51.504825592,0.0040966005,13:51:47,24/2/2016,0,8
51.504825592,0.0040766,13:51:48,24/2/2016,0,8
51.5048332214,0.0040600004,13:51:48,24/2/2016,0,8
51.5048332214,0.0040399999,13:51:50,24/2/2016,0,8
51.5048332214,0.0040216002,13:51:51,24/2/2016,0,8
51.5048332214,0.0040065999,13:51:52,24/2/2016,0,8
51.5048332214,0.0039883003,13:51:52,24/2/2016,0,8
51.5048332214,0.0039683003,13:51:54,24/2/2016,0,8
51.5048332214,0.00395,13:51:55,24/2/2016,0,8
51.5048332214,0.0039333,13:51:56,24/2/2016,0,8
51.5048332214,0.0039182996,13:51:56,24/2/2016,0,8
51.5048332214,0.0038983001,13:51:58,24/2/2016,0,8
51.5048332214,0.0038816001,13:51:59,24/2/2016,0,8
51.5048332214,0.0038682999,13:52:0,24/2/2016,0,8
51.5048332214,0.0038466003,13:52:0,24/2/2016,0,8
51.5048332214,0.0038300001,13:52:2,24/2/2016,0,8
51.5048332214,0.0038132999,13:52:3,24/2/2016,0,8
51.5048408508,0.0037950003,13:52:4,24/2/2016,0,8
51.5048408508,0.0037766003,13:52:4,24/2/2016,0,8
51.5048408508,0.0037582998,13:52:6,24/2/2016,0,8
51.5048408508,0.0037383003,13:52:7,24/2/2016,0,8
51.5048484802,0.0037183001,13:52:8,24/2/2016,0,8
51.5048484802,0.0036983001,13:52:8,24/2/2016,0,8
51.5048484802,0.0036816,13:52:10,24/2/2016,0,8
51.5048599243,0.0036650002,13:52:11,24/2/2016,0,8
51.5048599243,0.0036466002,13:52:12,24/2/2016,0,8
