SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatDec,GPSLonDec
./IMG_9662.JPG,IMG_9662.JPG,"40 deg 42' 34.72""","74 deg 0' 5.00""",40.709644,74.00139
./IMG_9663.JPG,IMG_9663.JPG,"40 deg 42' 33.36""","74 deg 0' 2.88""",40.709267,74.0008
./IMG_9664.JPG,IMG_9664.JPG,"40 deg 42' 30.31""","73 deg 59' 59.70""",40.70842,73.999916
./IMG_9665.JPG,IMG_9665.JPG,"40 deg 42' 28.42""","73 deg 59' 58.71""",40.707893,73.99964
./IMG_9666.JPG,IMG_9666.JPG,"40 deg 42' 27.92""","73 deg 59' 55.94""",40.707756,73.99887
./IMG_9667.JPG,IMG_9667.JPG,"40 deg 42' 26.82""","73 deg 59' 55.94""",40.70745,73.99887
./IMG_9668.JPG,IMG_9668.JPG,"40 deg 42' 25.26""","73 deg 59' 53.24""",40.707016,73.99812
./IMG_9669.JPG,IMG_9669.JPG,"40 deg 42' 22.95""","73 deg 59' 50.11""",40.706375,73.99725
./IMG_9670.JPG,IMG_9670.JPG,"40 deg 42' 21.34""","73 deg 59' 48.66""",40.70593,73.99685
./IMG_9671.JPG,IMG_9671.JPG,"40 deg 42' 18.90""","73 deg 59' 45.14""",40.70525,73.99587
./IMG_9672.JPG,IMG_9672.JPG,"40 deg 42' 13.36""","73 deg 59' 31.60""",40.703712,73.99211
./IMG_9673.JPG,IMG_9673.JPG,"40 deg 42' 10.65""","73 deg 59' 46.93""",40.702957,73.99637
./IMG_9674.JPG,IMG_9674.JPG,"40 deg 42' 9.35""","73 deg 59' 33.74""",40.7026,73.99271
./IMG_9675.JPG,IMG_9675.JPG,"40 deg 42' 7.73""","73 deg 59' 30.91""",40.70215,73.99192
./IMG_9676.JPG,IMG_9676.JPG,"40 deg 42' 9.01""","73 deg 59' 22.76""",40.702503,73.989655
./IMG_9677.JPG,IMG_9677.JPG,"40 deg 42' 11.02""","73 deg 59' 22.48""",40.70306,73.98958
./IMG_9678.JPG,IMG_9678.JPG,"40 deg 42' 12.77""","73 deg 59' 22.92""",40.70355,73.9897
./IMG_9679.JPG,IMG_9679.JPG,,,40.704,73.99
./IMG_9692.JPG,IMG_9692.JPG,"40 deg 36' 15.09""","73 deg 45' 10.66""",40.60419,73.75296
./IMG_9693.JPG,IMG_9693.JPG,"40 deg 36' 13.26""","73 deg 45' 10.66""",40.603683,73.75296
./IMG_9694.JPG,IMG_9694.JPG,"40 deg 35' 49.34""","73 deg 45' 15.41""",40.59704,73.75428
./IMG_9695.JPG,IMG_9695.JPG,"40 deg 35' 47.79""","73 deg 45' 15.55""",40.596607,73.75432
./IMG_9696.JPG,IMG_9696.JPG,"40 deg 35' 42.46""","73 deg 45' 14.72""",40.595127,73.75409
./IMG_9697.JPG,IMG_9697.JPG,"40 deg 35' 40.55""","73 deg 45' 22.25""",40.594597,73.75618
./IMG_9698.JPG,IMG_9698.JPG,"40 deg 35' 37.03""","73 deg 45' 20.76""",40.59362,73.75577
./IMG_9699.JPG,IMG_9699.JPG,"40 deg 35' 34.84""","73 deg 45' 20.00""",40.59301,73.755554
./IMG_9700.JPG,IMG_9700.JPG,"40 deg 35' 40.45""","73 deg 45' 16.26""",40.59457,73.75452
./IMG_9701.JPG,IMG_9701.JPG,"40 deg 35' 32.53""","73 deg 45' 22.33""",40.59237,73.7562
./IMG_9702.JPG,IMG_9702.JPG,"40 deg 35' 31.73""","73 deg 45' 32.93""",40.592148,73.75915
./IMG_9703.JPG,IMG_9703.JPG,"40 deg 35' 31.31""","73 deg 45' 38.62""",40.59203,73.76073
./IMG_9704.JPG,IMG_9704.JPG,"40 deg 35' 30.15""","73 deg 45' 51.44""",40.59171,73.76429
./IMG_9705.JPG,IMG_9705.JPG,"40 deg 35' 27.15""","73 deg 45' 55.67""",40.590874,73.765465
./IMG_9706.JPG,IMG_9706.JPG,"40 deg 35' 29.63""","73 deg 46' 16.00""",40.591564,73.77111
./IMG_9707.JPG,IMG_9707.JPG,"40 deg 35' 35.17""","73 deg 46' 52.99""",40.5931,73.78139
./IMG_9708.JPG,IMG_9708.JPG,"40 deg 35' 27.83""","73 deg 46' 45.41""",40.591064,73.77928
./IMG_9709.JPG,IMG_9709.JPG,"40 deg 35' 21.41""","73 deg 47' 14.77""",40.58928,73.78744
./IMG_9710.JPG,IMG_9710.JPG,"40 deg 35' 26.10""","73 deg 47' 18.35""",40.590584,73.78843
